id,filename,width,height,depth,name,xmin,xmax,ymin,ymax
0,n02085620_10074,333,500,3,chihuahua,25,276,10,498
1,n02085620_10131,395,495,3,chihuahua,49,393,9,493
2,n02085620_10621,500,298,3,chihuahua,142,335,43,250
3,n02085620_1073,345,500,3,chihuahua,0,312,27,498
4,n02085620_10976,322,484,3,chihuahua,90,242,104,452
5,n02085620_11140,500,375,3,chihuahua,17,451,38,253
6,n02085620_11238,382,384,3,chihuahua,39,145,191,383
7,n02085620_11258,375,500,3,chihuahua,76,363,30,375
8,n02085620_11337,300,225,3,chihuahua,59,229,37,179
9,n02085620_11477,887,629,3,chihuahua,317,558,95,459
10,n02085620_1152,500,375,3,chihuahua,3,156,81,225
11,n02085620_1152,500,375,3,chihuahua,147,323,65,324
12,n02085620_1152,500,375,3,chihuahua,391,437,111,167
13,n02085620_11696,800,600,3,chihuahua,211,696,0,516
14,n02085620_11818,375,500,3,chihuahua,121,302,90,343
15,n02085620_11948,500,464,3,chihuahua,0,461,16,436
16,n02085620_1205,500,375,3,chihuahua,146,350,0,239
17,n02085620_12101,380,253,3,chihuahua,5,350,4,252
18,n02085620_12334,299,415,3,chihuahua,159,250,186,330
19,n02085620_1235,500,375,3,chihuahua,194,275,111,299
20,n02085620_12718,333,500,3,chihuahua,26,304,42,487
21,n02085620_1298,480,333,3,chihuahua,151,438,94,230
22,n02085620_13151,500,336,3,chihuahua,176,379,29,333
23,n02085620_1321,500,333,3,chihuahua,111,248,42,314
24,n02085620_13383,493,500,3,chihuahua,156,334,242,498
25,n02085620_1346,450,320,3,chihuahua,1,432,8,316
26,n02085620_13964,375,500,3,chihuahua,96,373,133,495
27,n02085620_14252,448,336,3,chihuahua,166,346,110,248
28,n02085620_14413,640,853,3,chihuahua,142,546,123,850
29,n02085620_14516,640,480,3,chihuahua,51,487,2,478
30,n02085620_1455,333,500,3,chihuahua,60,331,153,498
31,n02085620_1492,500,333,3,chihuahua,58,190,143,332
32,n02085620_1502,500,333,3,chihuahua,51,418,13,331
33,n02085620_1558,366,500,3,chihuahua,0,327,6,493
34,n02085620_1569,278,274,3,chihuahua,24,277,10,273
35,n02085620_1617,357,238,3,chihuahua,2,356,6,237
36,n02085620_1620,500,375,3,chihuahua,25,465,0,374
37,n02085620_1765,391,500,3,chihuahua,55,327,85,437
38,n02085620_1862,375,500,3,chihuahua,152,228,107,247
39,n02085620_1916,500,495,3,chihuahua,8,456,7,397
40,n02085620_199,300,430,3,chihuahua,65,249,50,404
41,n02085620_2053,500,375,3,chihuahua,176,441,73,366
42,n02085620_2188,375,500,3,chihuahua,46,327,98,498
43,n02085620_2204,500,337,3,chihuahua,267,350,76,223
44,n02085620_2204,500,337,3,chihuahua,189,263,107,212
45,n02085620_2208,500,375,3,chihuahua,178,231,144,249
46,n02085620_242,400,500,3,chihuahua,113,368,45,486
47,n02085620_2479,330,251,3,chihuahua,40,260,16,239
48,n02085620_2507,500,375,3,chihuahua,79,324,35,322
49,n02085620_2517,500,375,3,chihuahua,125,372,26,314
50,n02085620_2590,448,336,3,chihuahua,201,417,88,239
51,n02085620_2614,500,375,3,chihuahua,123,305,2,374
52,n02085620_2650,500,333,3,chihuahua,108,405,87,303
53,n02085620_2693,500,500,3,chihuahua,188,325,140,307
54,n02085620_2706,320,240,3,chihuahua,105,229,39,217
55,n02085620_275,500,333,3,chihuahua,179,326,53,191
56,n02085620_2815,500,600,3,chihuahua,60,495,6,597
57,n02085620_2887,345,360,3,chihuahua,16,289,23,355
58,n02085620_2903,500,333,3,chihuahua,210,468,57,332
59,n02085620_2921,250,238,3,chihuahua,30,202,15,224
60,n02085620_2937,360,273,3,chihuahua,121,256,28,192
61,n02085620_2973,375,500,3,chihuahua,71,320,78,450
62,n02085620_2981,600,607,3,chihuahua,399,562,314,525
63,n02085620_3006,369,500,3,chihuahua,86,356,42,492
64,n02085620_3033,500,375,3,chihuahua,164,456,137,335
65,n02085620_3045,445,500,3,chihuahua,101,318,106,343
66,n02085620_3093,375,500,3,chihuahua,155,320,183,427
67,n02085620_3110,450,338,3,chihuahua,98,285,32,258
68,n02085620_3208,500,375,3,chihuahua,100,451,21,374
