,id,filename,width,height,depth,name,xmin,xmax,ymin,ymax
122,122,n02085620_4875,500,467,3,chihuahua,17,494,3,457
3663,3663,n02090721_5759,196,250,3,irish_wolfhound,25,195,13,249
10166,10166,n02099429_227,160,237,3,curly-coated_retriever,2,135,42,233
3097,3097,n02089973_2791,375,500,3,english_foxhound,0,256,340,498
15912,15912,n02107312_6680,500,342,3,miniature_pinscher,8,486,53,332
20721,20721,n02113023_2287,500,333,3,pembroke,187,342,96,269
2713,2713,n02088632_3531,500,376,3,bluetick,168,296,77,315
6579,6579,n02094258_307,333,500,3,norwich_terrier,10,220,5,347
8224,8224,n02096437_4318,388,500,3,dandie_dinmont,18,386,8,418
9346,9346,n02097658_3947,375,500,3,silky_terrier,30,373,8,498
16249,16249,n02107683_3659,500,333,3,bernese_mountain_dog,0,368,53,267
16729,16729,n02108000_446,397,405,3,entlebucher,0,162,101,373
2846,2846,n02088466_7032,500,432,3,bloodhound,0,370,60,430
1835,1835,n02088094_1829,329,500,3,afghan_hound,0,315,26,498
4461,4461,n02091467_2985,500,333,3,norwegian_elkhound,49,322,83,315
12083,12083,n02100735_9914,500,375,3,english_setter,124,499,66,374
19152,19152,n02111277_2456,500,375,3,newfoundland,100,445,0,276
19248,19248,n02111277_13728,500,300,3,newfoundland,44,477,24,277
4206,4206,n02091134_13940,375,500,3,whippet,22,241,86,498
7061,7061,n02095570_1609,375,500,3,lakeland_terrier,68,321,30,498
3343,3343,n02090379_832,235,292,3,redbone,23,173,12,277
12674,12674,n02101556_5182,500,375,3,clumber,140,477,6,374
7430,7430,n02095889_2363,269,200,3,sealyham_terrier,23,235,23,169
16356,16356,n02107683_3987,500,333,3,bernese_mountain_dog,20,469,10,331
1730,1730,n02087394_9855,500,403,3,rhodesian_ridgeback,37,472,66,386
6552,6552,n02094258_2583,500,375,3,norwich_terrier,304,426,100,312
5319,5319,n02092339_3663,334,500,3,weimaraner,126,315,21,496
11266,11266,n02093647_3594,500,375,3,bedlington_terrier,149,407,3,327
15517,15517,n02106662_13904,600,450,3,german_shepherd,3,598,31,448
14520,14520,n02105505_955,500,400,3,komondor,322,465,156,238
4821,4821,n02091831_13361,500,375,3,saluki,0,403,8,352
9081,9081,n02097474_4266,500,482,3,tibetan_terrier,48,419,18,425
20529,20529,n02112706_895,500,375,3,brabancon_griffon,34,430,3,374
6432,6432,n02093991_1282,300,259,3,irish_terrier,22,269,3,258
1559,1559,n02087046_5887,500,331,3,toy_terrier,146,354,1,328
6987,6987,n02095314_3242,200,155,3,wire-haired_fox_terrier,5,193,7,152
18091,18091,n02110185_5628,500,375,3,siberian_husky,0,406,1,374
13589,13589,n02104029_1709,500,375,3,kuvasz,0,481,32,374
